TECTONIC_SETTING,LOCATION,LATITUDE,LONGITUDE,LAND_SEA,SAMPLE_NAME,ROCK_NAME,ROCK_TYPE,SIO2_WT,TIO2_WT,AL2O3_WT,FE2O3_WT,FEO_WT,FEOT_WT,CAO_WT,MGO_WT,MNO_WT,K2O_WT,NA2O_WT,P2O5_WT,LI_PPM,BE_PPM,B_PPM,C_PPM,CO2_PPM,F_PPM,NA_PPM,MG_PPM,AL_PPM,P_PPM,S_PPM,CL_PPM,K_PPM,CA_PPM,SC_PPM,TI_PPM,V_PPM,CR_PPM,MN_PPM,FE_PPM,CO_PPM,NI_PPM,CU_PPM,ZN_PPM,GA_PPM,GE_PPM,AS_PPM,SE_PPM,BR_PPM,RB_PPM,SR_PPM,Y_PPM,ZR_PPM,NB_PPM,MO_PPM,RU_PPM,RH_PPM,PD_PPM,AG_PPM,CD_PPM,IN_PPM,SN_PPM,SB_PPM,TE_PPM,I_PPM,CS_PPM,BA_PPM,LA_PPM,CE_PPM,PR_PPM,ND_PPM,SM_PPM,EU_PPM,GD_PPM,TB_PPM,DY_PPM,HO_PPM,ER_PPM,TM_PPM,YB_PPM,LU_PPM,HF_PPM,TA_PPM,W_PPM,RE_PPM,OS_PPM,IR_PPM,PT_PPM,AU_PPM,HG_PPM,TL_PPM,PB_PPM,BI_PPM,TH_PPM,U_PPM
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,10.7,-85.38,SAE,s_040708-5A [15829],DACITE [15829],VOL,70.05,0.48,15.96,,1.3196,3.28,2.56,0.53,0.08,4.05,2.61,0.04,,,,,,,,,,,,,,,,,64.14,4.79,,,,,,,,,,,,82.7,373,22.22,209.2,12.3,,,,,,,,,,,,,1819.01,33.17,62.29,7.46,25.65,3.97,1.08,3.82,0.54,2.95,0.55,1.38,,1.93,0.28,4.33,0.6,,,,,,,,,11.69,,8,3.63
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,10.7,-85.38,SAE,s_040708-5B [15829],DACITE [15829],VOL,68.06,0.49,17.27,,,3.5,3.23,0.66,0.08,3.59,2.7,0.03,,,,,,,,,,,,,,,,,75.65,4.81,,,,,,,,,,,,69.4,454.4,16.93,208.1,12.4,,,,,,,,,,,,,1696.45,28.62,58.04,5.94,20.39,2.49,0.86,2.72,0.33,2.03,0.31,0.56,,1.29,0.15,3.43,0.49,,,,,,,,,10.09,,7.39,3.33
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,10.7,-85.38,SAE,s_040708-6A [15829],RHYOLITE [15829],VOL,73.82,0.26,15.03,,,1.64,1.65,0.39,0.07,3.93,3,0.02,,,,,,,,,,,,,,,,,22.36,2.51,,,,,,,,,,,,88.2,239.7,14.82,133,9.39,,,,,,,,,,,,,1766.23,24.75,46.12,4.76,15.56,2.23,0.58,2.38,0.31,1.71,0.3,0.75,,1.56,0.24,2.8,0.59,,,,,,,,,11.08,,9.18,4.46
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,10.7,-85.38,SAE,s_040708-6B [15829],RHYOLITE [15829],VOL,72.63,0.27,16.83,,,1.5,1.64,0.41,0.08,3.97,2.51,0.01,,,,,,,,,,,,,,,,,33.85,89.53,,,,,,,,,,,,83.7,246.6,16.63,143.1,10.78,,,,,,,,,,,,,1846.86,24.51,52.42,4.87,16.38,3.52,0.97,3.57,0.5,2.55,0.74,2.34,,2.67,0.45,3.56,1.04,,,,,,,,,14.87,,9.58,
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,10.7,-85.38,SAE,s_040708-6C [15829],RHYOLITE [15829],VOL,73.21,0.23,15.7,,,1.49,1.93,0.36,0.07,3.74,3.09,0.01,,,,,,,,,,,,,,,,,35.44,106.22,,,,,,,,,,,,79.4,279.9,13.5,126.1,10.48,,,,,,,,,,,,,1874.09,24.4,48.26,4.75,15.1,2.9,0.89,3.13,0.42,2.13,0.57,1.73,,2.03,0.32,2.9,0.96,,,,,,,,,13.28,,8.07,
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,10.7,-85.38,SAE,s_040708-6E [15829],RHYOLITE [15829],VOL,73.57,0.19,15.7,,,1.45,1.82,0.2,0.07,3.96,2.86,0.01,,,,,,,,,,,,,,,,,34.52,143.77,,,,,,,,,,,,80.6,269,14.04,132.1,10.96,,,,,,,,,,,,,1882.47,24.48,51.65,4.69,15.23,2.9,0.91,3.18,0.41,2.14,0.59,1.74,,2.01,0.32,2.98,1.07,,,,,,,,,15.97,,8.73,
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,10.57,-85.24,SAE,s_040707-3A [15829],DACITE [15829],VOL,68.5,0.51,17.13,,,3.78,2.8,0.48,0.16,3.7,2.49,0.03,,,,,,,,,,,,,,,,,87.13,5.71,,,,,,,,,,,,62.4,380.2,24.79,192.4,9.52,,,,,,,,,,,,,1597.5,27.13,65.9,6.61,24.3,3.78,0.98,3.92,0.5,3.02,0.53,1.27,,1.62,0.22,3.34,0.36,,,,,,,,,8.23,,5.69,2.89
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,10.57,-85.24,SAE,s_040707-3B [15829],DACITE [15829],VOL,70.79,0.39,16.3,,,2.87,2.28,0.51,0.06,3.66,2.81,0.02,,,,,,,,,,,,,,,,,58.2,13.69,,,,,,,,,,,,76.8,316.4,22.07,136.5,9.46,,,,,,,,,,,,,1437.74,23.39,45.87,5.37,20.25,4.25,1.04,4.32,0.65,3.43,0.73,2.3,,2.46,0.4,4.62,0.88,,,,,,,,,7.84,,5.58,2.99
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,10.57,-85.24,SAE,s_040707-3C [15829],DACITE [15829],VOL,67.42,0.57,17.33,,1.5561,3.9,3.23,0.99,0.11,3.02,2.98,0.02,,,,,,,,,,,,,,,,,86.93,10.46,,,,,,,,,,,,50.6,382.2,24.99,221.1,9.69,,,,,,,,,,,,,1431.97,26.82,55.89,6.32,22.69,3.29,0.91,3.38,0.44,2.86,0.52,1.14,,1.65,0.21,3.74,0.33,,,,,,,,,9.67,,5.66,2.74
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / GUATEMALA / CUILAPA SUR II,14.2625,-90.2889,SAE,s_C303 [3478] / s_GUC303 [3439],BASALT [3478] / NOT GIVEN [3439],VOL,49.9,1.36,16.5,,,8.96,9.8,7.68,0.16,0.57,3.23,0.24,,1.24,2.4,,,,,,,,,,,,31,,241,147,,,,72,71,,,,,,,7,482,25.1,131,5.3,,,,,,,,,,,,,179,8.5,24.1,,15,4.03,1.27,4.3,,4.68,,2.46,,1.8,,,,,,,,,,,,,,,
