Year,SAMPLE_NAME,UNIQUE_ID,LOCATION,LAND_SEA,ROCK_TYPE,ROCK_NAME,LATITUDE,LONGITUDE,SIO2_WT,TIO2_WT,AL2O3_WT,FE2O3_WT,FEOT_WT,FEO_WT,CAO_WT,MGO_WT,MNO_WT,K2O_WT,NA2O_WT,P2O5_WT,LI_PPM,BE_PPM,B_PPM,F_PPM,K_PPM,SC_PPM,TI_PPM,V_PPM,CR_PPM,CO_PPM,NI_PPM,CU_PPM,ZN_PPM,GA_PPM,GE_PPM,AS_PPM,RB_PPM,SR_PPM,Y_PPM,ZR_PPM,NB_PPM,MO_PPM,AG_PPM,CD_PPM,IN_PPM,SN_PPM,SB_PPM,CS_PPM,BA_PPM,LA_PPM,CE_PPM,PR_PPM,ND_PPM,SM_PPM,EU_PPM,GD_PPM,TB_PPM,DY_PPM,HO_PPM,ER_PPM,TM_PPM,YB_PPM,LU_PPM,HF_PPM,TA_PPM,W_PPM,TL_PPM,PB_PPM,BI_PPM,RA226(PPQ),TH_PPM,TH232_PPM,PA(PPT),U_PPM,U238_PPM,CO2_PPM,H2O_PPM,OH_PPM
2000,samp. SE20,11763-SE20,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / SANTA ELENA,SUBAERIAL,VOLCANIC ROCK,NOT GIVEN,10.5,-85,39.66,3.56,11.1,13.25,,,15.38,8.59,0.45,1.32,1.49,0.41,,,,,,,,402,383,,166,,,,,,27.69,573,19.5,193,43.98,,,,,,,,453,35.48,74.07,9.31,37.91,7.78,2.34,6.57,0.93,4.66,0.82,1.95,0.25,1.51,0.21,5.78,2.68,,,2.3,,,4.06,,,1.07,,,,
2000,samp. SE21,11763-SE21,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / SANTA ELENA,SUBAERIAL,VOLCANIC ROCK,NOT GIVEN,10.5,-85,43.81,3.24,15.33,10.45,,,7.62,4.6,0.51,5.57,2.21,0.84,,,,,,,,275,70,,20,,,,,,,392,,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,samp. SE2,11762-SE2,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / SANTA ELENA,SUBAERIAL,PLUTONIC ROCK,GABBRO,10.5,-85,49.95,0.17,19.19,4.59,,,14.59,8.16,0.09,0.06,1.74,0.02,,,,,,,,159,219,,98,,,,,,0.35,88,5.2,13,0.08,,,,,,,,13,0.25,0.66,0.12,0.77,0.37,0.18,0.6,0.12,0.92,0.21,0.6,0.1,0.63,0.1,0.26,0.01,,,0.12,,,0.02,,,0.01,,,,
2000,samp. SE3,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / SANTA ELENA,SUBAERIAL,PLUTONIC ROCK,NOT GIVEN,10.5,-85,55.96,0.73,15.02,7.89,,,9.65,6.71,0.14,0.06,2.27,0.04,,,,,,,,292,61,,26,,,,,,0.67,108,12.4,25,0.21,,,,,,,,19,0.79,2.42,0.46,2.64,1.1,0.45,1.63,0.32,2.22,0.49,1.41,0.21,1.48,0.22,0.8,0.02,,,0.3,,,0.05,,,0.03,,,,
2000,samp. SE6,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / SANTA ELENA,SUBAERIAL,VOLCANIC ROCK,"BASALT, THOLEIITIC",10.5,-85,51.31,1.18,15.84,10.23,,,8.05,5.64,0.18,0.19,5.18,0.1,,,,,,,,275,56,,28,,,,,,3.12,198,25.6,78,0.94,,,,,,,,77,2.22,7.54,1.38,7.52,2.75,0.98,3.66,0.69,4.61,0.98,2.83,0.42,2.83,0.42,2.03,0.07,,,0.24,,,0.09,,,0.05,,,,
2000,samp. SE22A,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / SANTA ELENA,SUBAERIAL,VOLCANIC ROCK,NOT GIVEN,10.5,-85,51.16,1.01,18.52,8.09,,,10.13,5.09,0.13,0.13,4.32,0.11,,,,,,,,228,67,,39,,,,,,,154,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,samp. SE22B,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / SANTA ELENA,SUBAERIAL,VOLCANIC ROCK,NOT GIVEN,10.5,-85,49.75,1.14,16.92,9.03,,,10.42,6.58,0.14,0.09,3.63,0.11,,,,,,,,256,60,,48,,,,,,,176,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,samp. SE24,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / SANTA ELENA,SUBAERIAL,VOLCANIC ROCK,NOT GIVEN,10.5,-85,50.15,1.11,15.62,9.31,,,10,7.14,0.16,0.13,3.66,0.11,,,,,,,,272,206,,66,,,,,,,185,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,samp. SE30,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / SANTA ELENA,SUBAERIAL,VOLCANIC ROCK,NOT GIVEN,10.5,-85,49.76,1.22,15.6,10.23,,,10.28,6.95,0.17,0.16,3.65,0.1,,,,,,,,294,157,,65,,,,,,,114,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,samp. SE31,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / SANTA ELENA,SUBAERIAL,VOLCANIC ROCK,NOT GIVEN,10.5,-85,49.9,1.38,15.34,11.95,,,8.97,6.45,0.18,0.32,3.81,0.09,,,,,,,,400,54,,44,,,,,,,185,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
