TECTONIC_SETTING,LOCATION,LATITUDE,LONGITUDE,LAND_SEA,SAMPLE_NAME,ROCK_NAME,ROCK_TYPE,SIO2_WT,TIO2_WT,AL2O3_WT,FE2O3_WT,FEO_WT,FEOT_WT,CAO_WT,MGO_WT,MNO_WT,K2O_WT,NA2O_WT,P2O5_WT,LI_PPM,BE_PPM,B_PPM,C_PPM,CO2_PPM,F_PPM,NA_PPM,MG_PPM,AL_PPM,P_PPM,S_PPM,CL_PPM,K_PPM,CA_PPM,SC_PPM,TI_PPM,V_PPM,CR_PPM,MN_PPM,FE_PPM,CO_PPM,NI_PPM,CU_PPM,ZN_PPM,GA_PPM,GE_PPM,AS_PPM,SE_PPM,BR_PPM,RB_PPM,SR_PPM,Y_PPM,ZR_PPM,NB_PPM,MO_PPM,RU_PPM,RH_PPM,PD_PPM,AG_PPM,CD_PPM,IN_PPM,SN_PPM,SB_PPM,TE_PPM,I_PPM,CS_PPM,BA_PPM,LA_PPM,CE_PPM,PR_PPM,ND_PPM,SM_PPM,EU_PPM,GD_PPM,TB_PPM,DY_PPM,HO_PPM,ER_PPM,TM_PPM,YB_PPM,LU_PPM,HF_PPM,TA_PPM,W_PPM,RE_PPM,OS_PPM,IR_PPM,PT_PPM,AU_PPM,HG_PPM,TL_PPM,PB_PPM,BI_PPM,TH_PPM,U_PPM
CONVERGENT MARGIN,HONSHU ARC / NORTHEASTERN HONSHU ARC / HONSHU / CHOKAI/TYOKAI,39.08,140.03,SAE,s_80901 [3117],"ANDESITE, HORNBLENDE-AUGITE-HYPERSTHENE [3117]",VOL,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONVERGENT MARGIN,HONSHU ARC / NORTHEASTERN HONSHU ARC / HONSHU / CHOKAI/TYOKAI / NAKANOSAWA FLOW,39.13,140.07,SAE,s_703-15 [3117],"ANDESITE, OLIVINE-AUGITE-HYPERSTHENE [3117]",VOL,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONVERGENT MARGIN,NEW ZEALAND / COROMANDEL-TAUPO / TAUPO VOLCANIC ZONE / EGMONT (MOUNT TARANAKI),-39.3,174.1,SAE,s_KW4_DC [21470],"ANDESITE, BASALTIC [21470]",VOL,56.37,0.78,17.92,,,6.36,7.4,2.57,0.17,2.48,3.96,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONVERGENT MARGIN,NEW ZEALAND / COROMANDEL-TAUPO / TAUPO VOLCANIC ZONE / EGMONT (MOUNT TARANAKI),-39.3,174.1,SAE,s_KW7T [21470],"ANDESITE, BASALTIC [21470]",VOL,52.35,0.8,19.69,,,6.56,7.87,2.44,0.17,1.85,3.57,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONVERGENT MARGIN,NEW ZEALAND / COROMANDEL-TAUPO / TAUPO VOLCANIC ZONE / EGMONT (MOUNT TARANAKI),-39.3,174.1,SAE,s_UIG1 [21470],ANDESITE [21470],VOL,57.94,0.61,18.23,,,5.32,6.83,1.85,0.17,2.34,4.15,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONVERGENT MARGIN,HONSHU ARC / NORTHEASTERN HONSHU ARC / HONSHU / CHOKAI/TYOKAI,39.13,140.07,SAE,s_80703 [3117],"ANDESITE, AUGITE-HYPERSTHENE [3117]",VOL,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONVERGENT MARGIN,NEW ZEALAND / COROMANDEL-TAUPO / TAUPO VOLCANIC ZONE / EGMONT (MOUNT TARANAKI),-39.3,174.1,SAE,s_UIG2 [21470],ANDESITE [21470],VOL,57.56,0.64,18.82,,,5.56,7.22,2.01,0.17,2.2,4.12,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONVERGENT MARGIN,NEW ZEALAND / COROMANDEL-TAUPO / TAUPO VOLCANIC ZONE / EGMONT (MOUNT TARANAKI),-39.3,174.1,SAE,s_UIG3 [21470],"ANDESITE, BASALTIC [21470]",VOL,56.93,0.59,19.37,,,5.13,7.56,2.15,0.16,1.95,4.15,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONVERGENT MARGIN,NEW ZEALAND / COROMANDEL-TAUPO / TAUPO VOLCANIC ZONE / EGMONT (MOUNT TARANAKI),-39.3,174.1,SAE,s_UIG4 [21470],ANDESITE [21470],VOL,57.39,0.61,18.71,,,5.42,6.43,1.75,0.16,2.26,4.07,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONVERGENT MARGIN,NEW ZEALAND / COROMANDEL-TAUPO / TAUPO VOLCANIC ZONE / EGMONT (MOUNT TARANAKI),-39.3,174.1,SAE,s_UIG5T [21470],ANDESITE [21470],VOL,57.98,0.65,18.94,,,5.12,5.98,1.86,0.14,2.28,3.82,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
