TECTONIC_SETTING,LOCATION,LATITUDE,LONGITUDE,LAND_SEA,SAMPLE_NAME,ROCK_NAME,ROCK_TYPE,SIO2_WT,TIO2_WT,AL2O3_WT,FE2O3_WT,FEO_WT,FEOT_WT,CAO_WT,MGO_WT,MNO_WT,K2O_WT,NA2O_WT,P2O5_WT,LI_PPM,BE_PPM,B_PPM,C_PPM,CO2_PPM,F_PPM,NA_PPM,MG_PPM,AL_PPM,P_PPM,S_PPM,CL_PPM,K_PPM,CA_PPM,SC_PPM,TI_PPM,V_PPM,CR_PPM,MN_PPM,FE_PPM,CO_PPM,NI_PPM,CU_PPM,ZN_PPM,GA_PPM,GE_PPM,AS_PPM,SE_PPM,BR_PPM,RB_PPM,SR_PPM,Y_PPM,ZR_PPM,NB_PPM,MO_PPM,RU_PPM,RH_PPM,PD_PPM,AG_PPM,CD_PPM,IN_PPM,SN_PPM,SB_PPM,TE_PPM,I_PPM,CS_PPM,BA_PPM,LA_PPM,CE_PPM,PR_PPM,ND_PPM,SM_PPM,EU_PPM,GD_PPM,TB_PPM,DY_PPM,HO_PPM,ER_PPM,TM_PPM,YB_PPM,LU_PPM,HF_PPM,TA_PPM,W_PPM,RE_PPM,OS_PPM,IR_PPM,PT_PPM,AU_PPM,HG_PPM,TL_PPM,PB_PPM,BI_PPM,TH_PPM,U_PPM
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241A-5H-4 123-133   [20692],NOT GIVEN [20692],VOL,60.66,0.4489,17.22,,,3.44,0.3978,1.51,0.0994,4.99,5.6,0.1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241B- 5H 3 70-74 [20692],NOT GIVEN [20692],VOL,60.06,0.2713,15.54,,,3.76,1.0672,0.1499,0.1547,5.24,5.97,0.0359,10.13,,,,,,,,,,,,,9148.17,5.45,,,21.43,,,1.93,,,,,,,,,68.6,29.59,29.56,842.14,83.35,,,,,,,,,,,,0.637,44.78,44.65,82.35,9.31,34.88,7.13,0.402,5.73,0.95,5.89,1.18,3.41,0.468,3.89,0.563,15.49,4.67,,,,,,,,,3.78,,8.09,2.29
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241B- 5H 3 70-74 [20692],NOT GIVEN [20692],VOL,60.43,0.3017,16.42,,,3.46,1.1763,0.2365,0.154,5.34,5.92,0.0669,8.36,,,,,,,,,,,,,9148.17,3.51,,,12.48,,,0.986,,,,,,,,,52.4,59.97,24.22,531.8,64.35,,,,,,,,,,,,0.469,395,38.36,72.18,8.47,32.17,6.05,1.43,4.98,0.773,4.39,0.897,2.78,0.327,2.62,0.363,10.13,3.74,,,,,,,,,3.23,,6.5,1.8
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241B- 5H 3 70-74 [20692],NOT GIVEN [20692],VOL,61.1,0.4073,16.38,,,4.31,1.2589,0.3756,0.05,5.29,5.84,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241B- 5H 3 70-74 [20692],NOT GIVEN [20692],VOL,60.73,0.3265,15.91,,,3.62,1.2388,0.2518,0.1539,5.24,6.03,0.1175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241B- 5H 3 70-74 [20692],NOT GIVEN [20692],VOL,59.44,0.2919,16.56,,,3.46,1.0721,0.1845,0.1136,5.29,6.04,0.0326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241B- 5H 3 70-74 [20692],NOT GIVEN [20692],VOL,58.64,0.6132,16.56,,,3.72,1.84,0.6282,0.1411,5.13,5.92,0.1715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241B- 5H 3 70-74 [20692],NOT GIVEN [20692],VOL,60.84,0.3925,16.26,,,3.55,1.2335,0.2844,0.1079,5.36,6.01,0.0961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241B- 5H 3 70-74 [20692],NOT GIVEN [20692],VOL,60.46,0.3208,15.84,,,3.77,1.0861,0.1661,0.2011,5.12,5.76,0.0453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241B- 5H 3 70-74 [20692],NOT GIVEN [20692],VOL,60.31,0.3817,16.53,,,3.01,1.2241,0.3077,0.1148,5.62,5.96,0.0613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241B- 5H 3 70-74 [20692],NOT GIVEN [20692],VOL,61.21,0.3144,16.79,,,3.64,1.0775,0.2526,0.0863,5.37,6.26,0.0663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241B- 5H 3 70-74 [20692],NOT GIVEN [20692],VOL,59.11,0.4139,16.17,,,4.02,1.3839,0.3321,0.1684,5.05,6.03,0.1505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
