TECTONIC_SETTING,LOCATION,LATITUDE,LONGITUDE,LAND_SEA,SAMPLE_NAME,ROCK_NAME,ROCK_TYPE,SIO2_WT,TIO2_WT,AL2O3_WT,FE2O3_WT,FEO_WT,FEOT_WT,CAO_WT,MGO_WT,MNO_WT,K2O_WT,NA2O_WT,P2O5_WT,LI_PPM,BE_PPM,B_PPM,C_PPM,CO2_PPM,F_PPM,NA_PPM,MG_PPM,AL_PPM,P_PPM,S_PPM,CL_PPM,K_PPM,CA_PPM,SC_PPM,TI_PPM,V_PPM,CR_PPM,MN_PPM,FE_PPM,CO_PPM,NI_PPM,CU_PPM,ZN_PPM,GA_PPM,GE_PPM,AS_PPM,SE_PPM,BR_PPM,RB_PPM,SR_PPM,Y_PPM,ZR_PPM,NB_PPM,MO_PPM,RU_PPM,RH_PPM,PD_PPM,AG_PPM,CD_PPM,IN_PPM,SN_PPM,SB_PPM,TE_PPM,I_PPM,CS_PPM,BA_PPM,LA_PPM,CE_PPM,PR_PPM,ND_PPM,SM_PPM,EU_PPM,GD_PPM,TB_PPM,DY_PPM,HO_PPM,ER_PPM,TM_PPM,YB_PPM,LU_PPM,HF_PPM,TA_PPM,W_PPM,RE_PPM,OS_PPM,IR_PPM,PT_PPM,AU_PPM,HG_PPM,TL_PPM,PB_PPM,BI_PPM,TH_PPM,U_PPM
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,1.06,-90.81,SAQ,s_TR16427D-1 [2124],BASALT [2124],VOL,48.63,1.86,14.49,,,10.96,11.77,6.9,0.14,0.24,2.98,,,,,,,,,,,,,,,,41,,318,231,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,19.4,,12.8,4.5,1.5,,1,,,,,3.1,0.52,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,1.06,-90.81,SAQ,s_TR16427D-3 [2105],BASALT [2105],VOL,49.26,1.71,15.41,2.02,8.62,10.99,12.25,7.29,0.21,0.26,2.73,0.17,,,,,,,,,,,,,,,42,,310,252,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,21.3,,14.8,4.8,1.7,,1.1,,,,,3.8,0.44,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,1.9,-90.95,SAQ,s_TR16426D-1 [2105],BASALT [2105],VOL,50.58,1.88,13.98,1.72,10.56,12.06,10.94,6.57,0.2,0.36,2.44,0.32,,,,,,,,,,,,,,,41,,404,98,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,,,4.5,1.6,,1.2,,,,,4.2,0.53,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,1.9,-90.95,SAQ,s_TR16426D-4 [2124],BASALT [2124],VOL,49.16,2.46,15.62,,,9.55,9.96,5.92,0.17,1.11,3.21,,,,,,,,,,,,,,,,33,,297,196,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,53.3,,28.2,7.3,2,,1.1,,,,,3.3,0.52,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,1.9,-90.95,SAQ,s_TR16426D-3 [2105],BASALT [2105],VOL,49.3,2.26,15.88,1.56,7.87,9.84,10.24,6.4,0.17,1.1,2.93,0.78,,,,,,,,,,,,,,,33,,292,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,48.4,,26.8,7.2,1.9,,1.2,,,,,2.7,0.45,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,1.95,-91.18,SAQ,s_TR16425D-1 [2105],BASALT [2105],VOL,49.92,1.57,14.7,1.71,9.19,11.05,12.1,7.45,0.2,0.25,2.52,0.18,,,,,,,,,,,,,,,47,,332,234,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,18,,14.1,4.1,1.5,,0.9,,,,0.66,3.5,0.45,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,1.95,-91.18,SAQ,s_TR16425D-2 [2105],BASALT [2105],VOL,48.54,1.58,16.1,1.87,7.9,9.63,12.24,8.25,0.13,0.38,2.41,0.26,,,,,,,,,,,,,,,38,,269,292,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,18.7,,11.8,4.1,1.3,,0.8,,,,,2.5,0.3,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,1.96,-91.24,SAQ,s_TR16424D-3 [2105],BASALT [2105],VOL,49.78,1.84,14.21,1.99,10.35,12.11,11.18,6.84,0.24,0.24,2.62,0.21,,,,,,,,,,,,,,,46,,382,210,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,18.7,,18.8,5,1.8,,1.4,,,,0.85,4.3,0.64,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,1.99,-91.61,SAQ,s_CTW10D-1 [2105],BASALT [2105],VOL,50.26,1.34,15.16,1.46,8.98,11.09,12.42,7.61,0.19,0.17,2.35,0.14,,,,,,,,,,,,,,,47,,313,243,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,13.8,,10.9,3.4,1.3,,0.8,,,,0.63,3.2,0.52,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,2.02,-91.81,SAQ,s_TR16410D-1 [2105],BASALT [2105],VOL,49.06,1.56,15.64,1.99,8.25,10.14,11.83,8,0.15,0.33,2.64,0.19,,,,,,,,,,,,,,,40,,305,254,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,8,20.8,,15.1,4.4,1.5,,0.9,,,,0.71,3.3,0.47,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,2.09,-92.24,SAQ,s_TR16411D-1 [2105],BASALT [2105],VOL,49.69,1.88,14.6,2.63,8.84,11.01,11.66,6.78,0.19,0.37,2.95,0.23,,,,,,,,,,,,,,,48,,356,137,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,24.5,,18.3,5.4,1.8,,1.1,,,,0.84,3.9,0.52,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,2.25,-92.69,SAQ,s_TR16412D-1 [2124],BASALT [2124],VOL,50.25,1.25,14.42,,,10.2,12.05,7.74,0.19,0.14,2.42,,,,,,,,,,,,,,,,41,,302,194,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,2.7,1.1,,,,,,0.36,2.5,0.46,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,2.29,-92.9,SAQ,s_TR16423D-2 [2105],BASALT [2105],VOL,50.98,1.67,13.34,2.02,10.42,11.63,11.09,6.65,0.2,0.21,2.57,0.18,,,,,,,,,,,,,,,47,,399,88,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,15.8,,14.4,4.5,1.5,,1.2,,,,0.83,4.3,0.53,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,2.42,-93.34,SAQ,s_TR16413D-1 [2105],BASALT [2105],VOL,50.42,1.46,13.68,1.91,9.95,11.4,11.72,7.16,0.18,0.18,2.35,0.15,,,,,,,,,,,,,,,47,,389,145,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,15.9,,11.4,3.9,1.4,,1,,,,0.73,3.9,0.53,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,2.47,-93.76,SAQ,s_TR16414D-1 [2105],BASALT [2105],VOL,50.49,1.6,14.25,2.05,10.09,12.17,11.33,6.86,0.2,0.18,2.49,0.16,,,,,,,,,,,,,,,45,,386,114,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,15.8,,13,4.3,1.4,,1.2,,,,0.67,4.3,0.51,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,2.52,-94.06,SAQ,s_TR16415D-1 [2105],BASALT [2105],VOL,50.31,1.19,15.68,1.09,8.73,10.65,12.71,7.54,0.2,0.14,2.2,0.09,,,,,,,,,,,,,,,40,,316,266,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,11.4,,6.3,2.8,1.1,,1.1,,,,0.53,3.8,0.43,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,2.56,-94.45,SAQ,s_TR16416D-1 [2105],BASALT [2105],VOL,50.82,1.57,14.14,1.85,10.19,11.9,11.29,6.96,0.21,0.15,2.41,0.16,,,,,,,,,,,,,,,45,,383,408,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,5,13.1,,,4,1.3,,1,,,,0.67,4.4,0.61,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,2.57,-94.87,SAQ,s_TR16417D-1 [2105],BASALT [2105],VOL,50.31,1.77,13.69,1.96,10.8,12.55,10.93,7.01,0.18,0.19,2.48,0.18,,,,,,,,,,,,,,,46,,425,156,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,16.8,,15.4,4.9,1.6,,1.1,,,,0.88,4.7,0.65,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,2.6,-95.33,SAQ,s_DSD-8A [2105],BASALT [2105],VOL,50.23,1.62,14.22,1.74,10.39,11.42,11.06,7.52,0.2,0.14,2.34,0.19,,,,,,,,,,,,,,,46,,349,232,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,13.5,,10.7,4,1.4,,1.1,,,,0.81,4.4,0.61,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,2.42,-95.41,SAQ,s_DSD-7A [2105],BASALT [2105],VOL,50.15,1.13,15.87,1.44,7.74,9.23,12.27,8.12,0.14,0.11,2.22,0.11,,,,,,,,,,,,,,,42,,279,385,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,9.1,,6.7,2.7,1,,0.7,,,,0.48,2.7,0.38,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,2.44,-95.62,SAQ,s_DSD-5 [2105],BASALT [2105],VOL,49.76,1.1,15.71,1.17,8.05,8.87,12.09,9,0.11,0.07,2.26,0.11,,,,,,,,,,,,,,,44,,268,445,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,8.6,,,2.6,0.9,,0.7,,,,0.4,2.6,0.38,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,2.29,-96.18,SAQ,s_TR16418D-3 [2105],BASALT [2105],VOL,49.41,0.97,16.92,1.19,7.2,9.4,13.01,7.97,0.15,0.05,2.33,0.08,,,,,,,,,,,,,,,39,,261,365,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,5.7,,7.1,2.2,0.9,,0.7,,,,0.56,2.7,0.35,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,2.29,-96.18,SAQ,s_TR16419D-1 [2105],BASALT [2105],VOL,49.16,1.11,15.8,1.18,7.95,9.33,12.49,8.62,0.17,0.03,2.24,0.08,,,,,,,,,,,,,,,41,,252,316,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,8.1,,7.1,2.7,1.1,,0.8,,,,,3.3,0.47,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,2.12,-97.19,SAQ,s_TR16420D-1 [2105],BASALT [2105],VOL,50.16,1.23,15.67,1.64,7.87,9.33,11.98,8.55,0.16,0.06,2.34,0.11,,,,,,,,,,,,,,,42,,303,357,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,8.6,,9.3,3.2,1.1,,0.7,,,,0.54,2.9,0.47,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,2.24,-97.86,SAQ,s_TR16421D-4 [2124],BASALT [2124],VOL,50.34,1.48,14.47,,,10.03,12.37,8.01,0.2,0.07,2.27,,,,,,,,,,,,,,,,43,,300,204,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,7.1,,6,3,0.9,,0.7,,,,0.39,2.8,0.44,,,,,,,,,,,,,,
