TECTONIC_SETTING,LOCATION,LATITUDE,LONGITUDE,LAND_SEA,SAMPLE_NAME,ROCK_NAME,ROCK_TYPE,SIO2_WT,TIO2_WT,AL2O3_WT,FE2O3_WT,FEO_WT,FEOT_WT,CAO_WT,MGO_WT,MNO_WT,K2O_WT,NA2O_WT,P2O5_WT,LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM)
OCEAN ISLAND,GALAPAGOS ISLANDS / GENOVESA (TOWER),0.3747,-89.857,SAQ,s_D22-B [8351],BASALT [8351],VOL,48.15,1.17,15.16,,,9.86,13.24,8.28,0.17,0.05,2.67,0.07,,,,,,,,,,,,,,,51.8,,290,340,,,51.7,96.4,130,71.5,,,,,,0.59,109,29.9,67.6,1.28,,,,,,,,,,,,,7.76,1.86,6.52,1.28,7.31,2.83,1.08,3.8,0.72,4.76,1.05,3.04,0.45,2.8,0.42,1.83,0.08,,,,,,,,,0.28,,0.08,0.02
OCEAN ISLAND,GALAPAGOS ISLANDS / GENOVESA (TOWER),0.3747,-89.857,SAQ,s_D22-C [8351],BASALT [8351],VOL,48.48,1.19,14.93,,,10,13.27,8.08,0.19,0.05,2.72,0.09,,,,,,,,,,,,,,,57.4,,330,380,,,54.1,79.4,139,79,,,,,,0.56,112,33.1,75.2,1.14,,,,,,,,,,,,,6.96,1.87,6.81,1.37,7.97,3.13,1.18,4.2,0.79,5.27,1.17,3.35,0.5,3.1,0.47,2.01,0.08,,,,,,,,,0.3,,0.07,0.01
OCEAN ISLAND,GALAPAGOS ISLANDS / GENOVESA (TOWER),0.3747,-89.857,SAQ,s_D22-D [8351],BASALT [8351],VOL,47.97,1.01,16.37,,,8.68,13.31,9.1,0.16,0.06,2.57,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / GENOVESA (TOWER),0.3747,-89.857,SAQ,s_D22-E [8351],BASALT [8351],VOL,48.45,1.19,14.98,,,9.87,13.27,8.08,0.17,0.07,2.78,0.07,,,,,,,,,,,,,,,55.6,,317,367,,,52.1,76.6,135,73.9,,,,,,0.52,108,32,71.5,1.11,,,,,,,,,,,,,6.72,1.84,6.67,1.34,7.77,3.06,1.17,4.16,0.78,5.15,1.14,3.28,0.48,3.02,0.45,1.95,0.07,,,,,,,,,0.34,,0.07,0.01
OCEAN ISLAND,GALAPAGOS ISLANDS / GENOVESA (TOWER),0.3747,-89.857,SAQ,s_D22-F [8351],BASALT [8351],VOL,48.66,1.2,14.95,,,10.08,13.18,8.01,0.19,0.05,2.76,0.08,,,,,,,,,,,,,,,52.4,,294,344,,,52.3,97.5,130,72,,,,,,0.58,107,29.9,67.4,1.26,,,,,,,,,,,,,7.69,1.86,6.5,1.28,7.29,2.81,1.09,3.84,0.72,4.79,1.07,3.06,0.45,2.8,0.42,1.82,0.08,,,,,,,,,0.27,,0.08,0.02
OCEAN ISLAND,GALAPAGOS ISLANDS / GENOVESA (TOWER),0.3747,-89.857,SAQ,s_D22-G [8351],BASALT [8351],VOL,48.7,1.22,14.91,,,10.15,13.14,7.97,0.19,0.06,2.78,0.08,,,,,,,,,,,,,,,49.1,,275,321,,,48.9,91.7,121,66.8,,,,,,0.53,100,27.7,62.8,1.18,,,,,,,,,,,,,7.27,1.75,6.08,1.19,6.8,2.64,1.02,3.6,0.68,4.49,1,2.85,0.42,2.63,0.39,1.7,0.08,,,,,,,,,0.23,,0.08,0.01
OCEAN ISLAND,GALAPAGOS ISLANDS / GENOVESA (TOWER),0.3747,-89.857,SAQ,s_D22-H [8351],BASALT [8351],VOL,48.58,1.2,15.15,,,10.1,13.46,7.79,0.21,0.07,2.74,0.07,,,,,,,,,,,,,,,57.2,,316,373,,,52.8,76.6,133,74.4,,,,,,0.53,109,32.1,72.1,1.11,,,,,,,,,,,,,6.86,1.83,6.64,1.33,7.73,3.03,1.18,4.16,0.79,5.2,1.15,3.3,0.49,3.04,0.46,1.96,0.07,,,,,,,,,0.26,,0.07,0.07
OCEAN ISLAND,GALAPAGOS ISLANDS / GENOVESA (TOWER),0.3747,-89.857,SAQ,s_D22-I [8351],BASALT [8351],VOL,48.74,1.17,15.04,,,9.9,13.22,8.27,0.19,0.05,2.76,0.08,,,,,,,,,,,,,,,55.7,,309,366,,,51.5,76,133,73,,,,,,0.52,106,31.7,70.7,1.09,,,,,,,,,,,,,6.61,1.82,6.59,1.33,7.7,3.04,1.17,4.15,0.78,5.15,1.14,3.27,0.48,3,0.45,1.96,0.07,,,,,,,,,0.29,,0.07,0.01
OCEAN ISLAND,GALAPAGOS ISLANDS / GENOVESA (TOWER),0.4782,-89.8308,SAQ,s_D23-B [8351],BASALT [8351],VOL,48.83,1.24,14.6,,,10.37,12.92,7.71,0.18,0.05,2.82,0.09,,,,,,,,,,,,,,,53.7,,323,215,,,53.3,69.5,125,77.3,,,,,,0.52,95.8,31.6,63.7,1.11,,,,,,,,,,,,,7.43,1.72,6.03,1.21,7.11,2.87,1.11,4.01,0.77,5.08,1.13,3.25,0.48,2.99,0.44,1.84,0.07,,,,,,,,,0.25,,0.07,0.01
OCEAN ISLAND,GALAPAGOS ISLANDS / GENOVESA (TOWER),0.4782,-89.8308,SAQ,s_D23-C [8351],BASALT [8351],VOL,49.13,1.24,14.79,,,10.36,12.89,7.87,0.21,0.05,2.84,0.08,,,,,,,,,,,,,,,53.1,,321,209,,,53.2,65.4,123,75.7,,,,,,0.51,96,31.8,64.8,1.11,,,,,,,,,,,,,6.15,1.72,6.07,1.22,7.15,2.86,1.13,4.07,0.78,5.1,1.13,3.25,0.49,3,0.45,1.84,0.07,,,,,,,,,0.24,,0.07,0.01
