TECTONIC_SETTING,LOCATION,LATITUDE,LONGITUDE,LAND_SEA,SAMPLE_NAME,ROCK_NAME,ROCK_TYPE,SIO2_WT,TIO2_WT,AL2O3_WT,FE2O3_WT,FEO_WT,FEOT_WT,CAO_WT,MGO_WT,MNO_WT,K2O_WT,NA2O_WT,P2O5_WT,LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM)
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / ALCEDO,-0.41,-91.03,SAE,s_SR10 [627],RHYOLITE [627],VOL,70.83,0.43,13.43,,,4.63,1.62,0.21,0.12,2.79,4.91,0.07,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,69,112,,883,,,,,,,,,,,,,,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / ALCEDO,-0.41,-91.03,SAE,s_H34 [627],RHYOLITE [627],VOL,70.6,0.33,13.09,,,3.81,1.24,0.3,0.11,3.1,5.26,0.07,,,,,,,,,,,,,,,5,,,1,,,,,,,,,,,,71,111,108,840,83,,,,,,,,,,,,,435,66,136,,73,17.5,2.81,16.7,2.76,,,,,10,1.35,21.3,5.6,,,,,,,,,,,10.4,2.8
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / ALCEDO,-0.41,-91.03,SAE,s_DG7 [627],RHYOLITE [627],VOL,65.97,0.33,11.99,,,3.66,1.25,0.42,0.11,2.92,5.29,0.08,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,71,109,99,794,81,,,,,,,,,,,,,363,59.4,130,,65,14.66,2.83,14.39,2.34,,,,,8.85,1.32,19.7,4.6,,,,,,,,,,,9.6,2.9
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / ALCEDO,-0.41,-91.03,SAE,s_DG8 [627],RHYOLITE [627],VOL,68.56,0.37,12.6,,,4.05,1.36,0.26,0.11,3.03,4.63,0.06,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,81,106,97,782,82,,,,,,,,,,,,,418,59.1,135,,65.3,14.81,2.91,14.88,2.39,,,,,8.81,1.33,20,4.7,,,,,,,,,,,9.5,3
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / ALCEDO,-0.41,-91.03,SAE,s_MJ251 [627],RHYOLITE [627],VOL,68.3,0.38,12.87,,,3.57,1.48,0.23,0.13,3.01,5.05,0.07,,,,,,,,,,,,,,,6,,,,,,,10,,,,,,,,64,99,90,741,83,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / ALCEDO,-0.41,-91.03,SAE,s_H29 [627],GRANOPHYRE [627],VEIN,69.22,0.54,14.25,,,3.56,1.85,0.35,0.1,3.19,5.26,0.09,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,70,118,64,598,54,,,,,,,,,,,,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / GENOVESA (TOWER),0.3,-89.91,SAE,s_E-173 [614],"BASALT, PLAGIOCLASE [614]",VOL,47.02,0.9,20.8,3.02,4.6,,13.67,4.6,0.13,0.07,2.47,0.09,,,,,,,,,,,,,,,,,,124,,,47,57,,,,,,,,,189,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / PINTA (ABINGDON) / SHIELD STAGE,0.55,-90.72,SAE,s_P-17 [614],"BASALT, PLAGIOCLASE [614]",VOL,47.06,1.79,23.19,5.59,2.02,,12.87,3.92,0.12,0.49,2.52,0.23,,,,,,,,,,,,,,,,,,52,,,37,39,,,,,,,,15,422,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / PINTA (ABINGDON) / SHIELD STAGE,0.55,-90.72,SAE,s_P-18 [614],"BASALT, PLAGIOCLASE [614]",VOL,49.2,1.94,18.19,3.48,6.03,,12.16,5.81,0.16,0.33,2.75,0.23,,,,,,,,,,,,,,,,,,66,,,55,74,,,,,,,,5.4,351,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / PINTA (ABINGDON) / SHIELD STAGE,0.55,-90.72,SAE,s_P-26 [614],"BASALT, PLAGIOCLASE [614]",VOL,47.92,0.74,26.16,1.01,3.03,,14.39,2.53,0.07,0.33,2.09,0.12,,,,,,,,,,,,,,,,,,58,,,30,49,,,,,,,,11,433,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / WOLF (WENMAN),1.38,-91.81,SAE,s_WO-3 [614],"BASALT, PLAGIOCLASE [614]",VOL,48.03,1.24,22.28,3.89,2.64,,13.69,3.93,0.1,0.21,2.44,0.42,,,,,,,,,,,,,,,,,,233,,,36,66,,,,,,,,4.5,274,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / PINTA (ABINGDON) / SHIELD STAGE,0.55,-90.72,SAE,s_E-5 [614],"BASALT, PLAGIOCLASE [614]",VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / WOLF (WENMAN),1.38,-91.81,SAE,s_4C075 [1234],BASALT [1234],VOL,,,,,,,,,,0.3717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / SANTA CRUZ (INDEFATIGABLE),-0.63,-90.38,SAE,s_H70-130 [1234],BASALT [1234],VOL,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / SANTA FE (BARRINGTON),-0.85,-90.5,SAE,s_JD1088 [1234],BASALT [1234],VOL,,,,,,,,,,0.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / SAN CRISTOBAL (CHATHAM),-0.75,-89.4,SAE,s_5C748 [1234],BASALT [1234],VOL,,,,,,,,,,0.6072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / ESPANOLA (HOOD),-1.38,-89.67,SAE,s_5C959 [1234],BASALT [1234],VOL,,,,,,,,,,0.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / ESPANOLA (HOOD),-1.38,-89.67,SAE,s_5C316 [1234],BASALT [1234],VOL,,,,,,,,,,0.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / ESPANOLA (HOOD),-1.38,-89.67,SAE,s_5C987 [1234],BASALT [1234],VOL,,,,,,,,,,0.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / SANTA FE (BARRINGTON),-0.85,-90.5,SAE,s_JD1088 [1234],BASALT [1234],VOL,,,,,,,,,,0.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / SANTA FE (BARRINGTON),-0.85,-90.5,SAE,s_JD1088 [1234],BASALT [1234],VOL,,,,,,,,,,0.623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / SANTA FE (BARRINGTON),-0.85,-90.5,SAE,s_JD1088 [1234],BASALT [1234],VOL,,,,,,,,,,0.623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.3267,-91.745,SAQ,s_D24A-2 [21895],BASALT [21895],VOL,49.02,3.05,14.23,,,11.45,11.89,6.58,0.19,0.4,2.88,,,,,,89.42,404.18,,,,1252.86,1528.25,372.35,3154.62,,,17630.86,,,,,,,,,,,,,,7.02,348.76,26.37,156.5,21.64,,,,,,,,,,,,,83.49,13.12,33.17,4.57,20.7,5.21,1.83,5.66,0.89,5.2,0.99,2.62,0.36,2.28,0.33,3.79,,,,,,,,,,0.97,,1.08,0.369
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / SIERRA NEGRA,-0.45,-91.78,SAQ,s_AHA24A [21895],BASALT [21895],VOL,48.33,3.78,13.97,,,12.1,11.24,5.79,0.2,0.56,3.06,,,,,,151.17,539.31,,,,1679.66,1470.06,246,4636.01,,,23511.46,,,,,,,,,,,,,,8.98,445.13,33.55,223.71,23.78,,,,,,,,,,,,,93.38,17.18,43.21,,27.8,6.87,2.34,7.55,,6.7,,3.62,,3.09,,5.17,,,,,,,,,,0.51,,1.26,0.423
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / SIERRA NEGRA,-0.19,-91.55,SAQ,s_D13B [21895],BASALT [21895],VOL,48.42,3.18,15.45,,,11.41,10.4,5.92,0.18,0.7,3.26,,,,,,64.24,621.87,,,,1946.07,1304.01,239,5455.51,,,19216.05,,,,,,,,,,,,,,8.9,391.07,32.5,226.58,26.59,,,,,,,,,,,,,132.05,19.16,44.42,,26.55,6.35,2.24,7.04,,6.31,,3.3,,2.91,,4.86,,,,,,,,,,1.23,,1.73,0.542
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / SIERRA NEGRA,-0.17,-91.7,SAQ,s_D14A [21895],BASALT [21895],VOL,48.89,3.71,14.11,,,12.56,10.55,5.2,0.21,0.65,3.14,,,,,,55.15,685.65,,,,2152.53,1580.81,240.35,5408.79,,,23356.17,,,,,,,,,,,,,,10.69,392.77,36.87,255.16,31.8,,,,,,,,,,,,,129.05,21.39,50.6,,30.36,7.74,2.52,8.01,,6.77,,3.91,,3.21,,5.52,,,,,,,,,,1.34,,1.82,0.576
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / SIERRA NEGRA,-0.17,-91.7,SAQ,s_D1A [21895],BASALT [21895],VOL,47.79,3.53,15.41,,,11.51,10.55,5.94,0.18,0.88,3.7,,,,,,104.99,715.3,,,,2189.31,1510.79,875.38,7545.74,,,20119.64,,,,,,,,,,,,,,18.57,430.27,32.12,237.26,36.22,,,,,,,,,,,,,198.16,22.34,54.86,7.01,30.33,7.14,2.49,7.34,1.11,6.35,1.2,3.16,0.42,2.77,0.4,5.4,,,,,,,,,,1.79,,2.08,0.713
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / SIERRA NEGRA,-0.79,-91.67,SAQ,s_D34A [21895],BASALT [21895],VOL,48.8,2.23,15.26,,,10.44,12.51,6.42,0.18,0.47,2.81,,,,,,160.89,455.49,,,,1121.9,1108.79,240.03,4098.08,,,13506.32,,,,,,,,,,,,,,7.66,344.54,23.37,134.31,19.32,,,,,,,,,,,,,100.33,13.84,31.09,,18.07,4.54,1.62,4.92,,4.4,,2.42,,2.13,,3.26,,,,,,,,,,0.59,,1.27,0.351
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / SIERRA NEGRA,-0.76,-91.62,SAQ,s_D36 [21895],BASALT [21895],VOL,49.48,3.54,13.32,,,13.44,10.27,5.13,0.23,0.64,3.06,,,,,,111.27,681.26,,,,1890.65,1475.36,219.99,5223.79,,,21618.82,,,,,,,,,,,,,,12.27,304.27,37.2,237.51,33.7,,,,,,,,,,,,,117.55,21.49,49.7,,28.69,7.25,2.44,7.88,,7.04,,4,,3.18,,5.45,,,,,,,,,,1.12,,2,0.534
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / SIERRA NEGRA,-0.72,-91.55,SAQ,s_D38A [21895],BASALT [21895],VOL,48.94,2.3,14.67,,,10.28,12.73,7.06,0.17,0.46,2.54,,,,,,125.64,437.67,,,,1143.74,1058.34,208.37,3562.81,,,13183.85,,,,,,,,,,,,,,6.12,300.47,21.72,133.23,20.39,,,,,,,,,,,,,80.81,13.48,30.49,,17.34,4.34,1.42,4.58,,4.08,,2.2,,1.81,,3.2,,,,,,,,,,2.3,,1.26,0.417
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / SIERRA NEGRA,-0.78,-91.58,SAQ,s_D39A [21895],BASALT [21895],VOL,49.1,2.44,14.5,,,10.72,12.57,6.93,0.18,0.41,2.45,,,,,,108.41,406.96,,,,1115.05,1038.08,185.67,3302.41,,,14478.65,,,,,,,,,,,,,,6.51,296.04,24.53,143.48,20.47,,,,,,,,,,,,,76.83,14.03,32.71,,19.69,5.02,1.67,5.13,,4.78,,2.63,,2.24,,3.44,,,,,,,,,,0.62,,1.2,0.359
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / SIERRA NEGRA,-0.89,-91.68,SAQ,s_D40A [21895],BASALT [21895],VOL,48.74,3.25,14.25,,,12.55,10.45,5.14,0.22,0.78,3.41,,,,,,137.82,806.52,,,,1873.33,1599.16,361.91,6693.08,,,19832.54,,,,,,,,,,,,,,13.9,389.83,34.13,224.55,36.08,,,,,,,,,,,,,164.43,25.08,55.69,,30.47,7.37,2.59,7.64,,6.69,,3.59,,3.09,,5.15,,,,,,,,,,0.95,,2.12,0.616
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / SIERRA NEGRA,-0.99,-91.61,SAQ,s_D42A [21895],BASALT [21895],VOL,49.08,2.5,14.57,,,11.07,12.36,6.62,0.18,0.43,2.57,,,,,,137.5,434.3,,,,1196.6,1456.49,171.67,3491.39,,,14956.26,,,,,,,,,,,,,,6.87,311.56,25.09,147.81,21.35,,,,,,,,,,,,,80.13,14.61,33.81,,20.48,5.04,1.79,5.42,,4.99,,2.67,,2.27,,3.56,,,,,,,,,,0.63,,1.27,0.398
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / SIERRA NEGRA,-1.08,-91.55,SAQ,s_D47A [21895],BASALT [21895],VOL,48.95,2.32,14.75,,,10.84,12.31,6.65,0.18,0.46,2.7,,,,,,160.91,461.41,,,,1158.4,1318.62,261.29,3826.29,,,14045.58,,,,,,,,,,,,,,7.92,317.9,25.75,138.87,20.58,,,,,,,,,,,,,97.75,14.98,34.15,,20.2,4.82,1.77,5.28,,5.07,,2.82,,2.39,,3.25,,,,,,,,,,0.64,,1.35,0.399
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / SIERRA NEGRA,-1.13,-91.45,SAQ,s_D48A [21895],BASALT [21895],VOL,48.85,2.41,14.52,,,10.7,12.42,6.73,0.18,0.47,2.5,,,,,,164.06,448.9,,,,1194.54,1328.72,276.12,3759.21,,,14363.08,,,,,,,,,,,,,,7.81,306.68,24.77,148.71,21.38,,,,,,,,,,,,,89.06,14.63,33.72,,19.88,4.89,1.62,5.17,,4.68,,2.57,,2.26,,3.32,,,,,,,,,,0.57,,1.37,0.387
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / SIERRA NEGRA,-0.1,-91.64,SAQ,s_D5B [21895],BASALT [21895],VOL,49.32,2.82,14.74,,,11.21,11.34,5.85,0.19,0.62,2.98,,,,,,127.18,530.76,,,,1568.53,1344.41,346.54,4716.95,,,16389.17,,,,,,,,,,,,,,7.48,347.22,26.72,176.83,22.46,,,,,,,,,,,,,115.03,15.27,34.74,,20.97,5.4,1.92,5.5,,4.89,,2.8,,2.21,,4.06,,,,,,,,,,1.93,,1.44,0.43
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / SIERRA NEGRA,-0.1,-91.64,SAQ,s_D5G [21895],BASALT [21895],VOL,49.3,3.02,14.64,,,11.2,11.35,6.16,0.19,0.63,3.17,,,,,,115.49,538.58,,,,1416.03,1480.04,421.44,4757.21,,,16192.9,,,,,,,,,,,,,,10.88,367.02,26.95,172.7,23.88,,,,,,,,,,,,,135.09,15.75,38.64,5.14,22.6,5.53,1.94,5.95,0.93,5.32,0.99,2.59,0.35,2.31,0.34,4.11,,,,,,,,,,1.18,,1.43,0.452
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / SIERRA NEGRA,0,-91.69,SAQ,s_D6A [21895],BASALT [21895],VOL,47.9,3.2,15.83,,,11.06,10.69,6.1,0.18,0.76,3.3,,,,,,124.37,607.96,,,,1934.43,890.18,267.52,6213.4,,,18880.15,,,,,,,,,,,,,,10.53,428.98,30.3,222.48,29.17,,,,,,,,,,,,,148.94,19.89,45.54,,26.81,6.5,2.36,6.94,,5.78,,3.22,,2.66,,5,,,,,,,,,,1.69,,1.77,0.52
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / SIERRA NEGRA,0,-91.69,SAQ,s_D6G [21895],BASALT [21895],VOL,47.98,3.39,15.66,,,11.17,10.58,6.33,0.17,0.8,3.46,,,,,,107.52,642.58,,,,1604.41,1026.51,352.94,5582.29,,,18587.69,,,,,,,,,,,,,,12.93,431.82,32.85,237.14,31.17,,,,,,,,,,,,,166.79,20.97,45.81,6.39,28.83,6.92,2.33,7.49,1.13,6.54,1.24,3.23,0.44,2.81,0.41,5.52,,,,,,,,,,1.36,,2.06,0.548
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / SIERRA NEGRA,-0.05,-91.82,SAQ,s_D7A [21895],BASALT [21895],VOL,46.95,3.16,16.41,,,12.25,9.85,6.22,0.2,0.9,3.29,,,,,,151.14,614.01,,,,2005.62,1038.59,307.15,7684.09,,,19407.38,,,,,,,,,,,,,,14.78,514.04,31.67,240.44,32.81,,,,,,,,,,,,,184.74,23.17,52.95,,30.09,7.14,2.75,7.63,,6.29,,3.36,,2.81,,5.23,,,,,,,,,,0.41,,2.02,0.57
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / SIERRA NEGRA,-0.09,-91.76,SAQ,s_D8A [21895],BASALT [21895],VOL,46.87,3.21,16.52,,,12.15,9.43,6.08,0.19,0.96,3.47,,,,,,124.78,611.09,,,,2087.33,979.87,301.59,8056.29,,,19873.34,,,,,,,,,,,,,,14.86,521.44,32.3,247.77,33.29,,,,,,,,,,,,,187.14,23.38,53.81,,30.87,7.54,2.7,7.79,,6.59,,3.54,,2.84,,5.48,,,,,,,,,,0.51,,2.07,0.604
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / SIERRA NEGRA,-0.09,-91.76,SAQ,s_D8C [21895],BASALT [21895],VOL,46.76,3.6,16.23,,,12.48,9.6,5.84,0.2,0.98,3.81,,,,,,121.37,699.35,,,,1929.09,1252.03,447.66,7412.03,,,20897.84,,,,,,,,,,,,,,18.44,489.77,35.08,273.45,37.91,,,,,,,,,,,,,208.56,24.31,52.8,7.26,32.39,7.77,2.61,8.1,1.24,7.07,1.29,3.4,0.46,2.89,0.42,6.26,,,,,,,,,,1.63,,2.36,0.637
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / SIERRA NEGRA,-0.08,-91.95,SAQ,s_D10A [21895],BASALT [21895],VOL,50.22,1.16,17.02,,,8.5,12.03,8.63,0.2,0.14,2.48,,,,,,153.8,161.64,,,,542.8,823.55,40.66,852.2,,,6772.97,,,,,,,,,,,,,,1.53,156.86,21.92,76.2,2.49,,,,,,,,,,,,,11.63,2.98,8.95,1.62,8,2.91,1.09,3.92,0.68,4.38,0.95,2.63,0.41,2.56,0.39,1.91,,,,,,,,,,0.39,,0.18,0.051
OCEAN ISLAND,GALAPAGOS ISLANDS / MARCHENA (BINDLOE),0.58,-90.33,SAQ,s_DR69-7 [21895],BASALT [21895],VOL,50.26,0.97,15.55,,,9.63,13.36,8.44,0.2,0.05,2.13,,,,,,77.18,90.98,,,,282.71,902.63,37.05,436.56,,,5640.78,,,,,,,,,,,,,,0.88,77.51,22.19,40.67,1.83,,,,,,,,,,,,,10.63,1.76,5.05,0.93,5.45,2.06,0.85,2.99,0.56,3.88,0.83,2.37,0.36,2.27,0.35,1.82,,,,,,,,,,0.18,,0.12,0.037
OCEAN ISLAND,GALAPAGOS ISLANDS / GENOVESA (TOWER),0.41,-89.87,SAQ,s_DR70-2 [21895],BASALT [21895],VOL,50.04,1.3,14.55,,,10.76,12.78,7.41,0.18,0.08,2.65,,,,,,91.99,138.82,,,,425.04,1138.23,20,499.36,,,7789.73,,,,,,,,,,,,,,0.69,123.93,27.36,69.96,1.37,,,,,,,,,,,,,8.88,2.24,7.76,1.47,8.23,3.16,1.23,4.41,0.76,4.94,1.09,3.15,0.46,2.95,0.44,2.58,,,,,,,,,,0.32,,0.1,0.03
OCEAN ISLAND,GALAPAGOS ISLANDS / GENOVESA (TOWER),0.45,-89.63,SAQ,s_DR71-A-1 [21895],BASALT [21895],VOL,48.51,1.1,16.08,,,10.12,12.89,8.42,0.16,0.05,2.39,,,,,,94.73,123.07,,,,340.43,1005.04,41.05,386.62,,,6348.72,,,,,,,,,,,,,,0.47,114.31,22.37,56.9,1.06,,,,,,,,,,,,,5.82,1.8,6.13,1.29,6.54,2.32,0.94,3.43,0.69,3.93,0.98,2.54,0.43,2.38,0.42,2.01,,,,,,,,,,0.25,,0.08,0.024
OCEAN ISLAND,GALAPAGOS ISLANDS / GENOVESA (TOWER),0.11,-89.29,SAQ,s_DR72-3 [21895],BASALT [21895],VOL,48.71,0.85,17,,,9.87,12.23,8.81,0.19,0.03,2.38,,,,,,114.94,73.78,,,,188.3518,880.23,11.21,124.007,,,4652.3108,,,,,,,,,,,,,,0.1136,78.8355,18.5673,33.2839,0.5427,,,,,,,,,,,,,2.8114,0.8426,3.1035,0.8,4.0398,1.4307,0.693,2.2304,0.49,2.9287,0.75,1.9272,0.34,1.8625,0.33,1.2754,,,,,,,,,,0.1194,,0.0233,0.0092
OCEAN ISLAND,GALAPAGOS ISLANDS / GENOVESA (TOWER),0.09,-89.25,SAQ,s_DR72-A-1 [21895],BASALT [21895],VOL,47.87,0.86,18.38,,,7.87,12.78,9.85,0.15,0.01,2.3,,,,,,103.17,89.97,,,,235.07,759.58,4.05,143.28,,,5593.19,,,,,,,,,,,,,,0.18,120.67,16.98,39.39,0.26,,,,,,,,,,,,,1.83,0.87,4.51,0.94,5.44,2.08,0.91,2.82,0.5,3.19,0.69,1.94,0.29,1.89,0.28,1.51,,,,,,,,,,0.21,,0.02,0.009
OCEAN ISLAND,GALAPAGOS ISLANDS / GENOVESA (TOWER),0.19,-88.88,SAQ,s_DR77-9 [21895],BASALT [21895],VOL,50.78,0.97,14.56,,,9.84,13.08,8.06,0.19,0.02,2.14,,,,,,89.44,85.44,,,,264.9,1005.87,82.89,212.27,,,5609.1,,,,,,,,,,,,,,0.36,62.35,21.93,37.48,0.69,,,,,,,,,,,,,4.7,0.97,3.62,0.86,4.7,1.82,0.83,3.32,0.67,4.18,1.02,2.54,0.43,2.47,0.42,1.64,,,,,,,,,,0.14,,0.06,0.016
OCEAN ISLAND,GALAPAGOS ISLANDS / GENOVESA (TOWER),0.29,-88.7,SAQ,s_DR78-1 [21895],BASALT [21895],VOL,50.78,1.06,14.32,,,10.46,12.8,7.79,0.16,0.04,2.19,,,,,,181.97,99.56,,,,289.2,1109.8,25.4,278.98,,,6214.21,,,,,,,,,,,,,,0.53,62.66,24.29,44.01,1,,,,,,,,,,,,,6.7,1.27,4.39,0.97,5.35,2.14,0.83,3.32,0.7,4.11,1.08,2.76,0.46,2.49,0.46,1.98,,,,,,,,,,0.24,,0.07,0.019
OCEAN ISLAND,GALAPAGOS ISLANDS / GENOVESA (TOWER),0.42,-88.69,SAQ,s_DR79-1 [21895],BASALT [21895],VOL,47.87,0.95,17.08,,,9.82,11.96,9.65,0.16,0.05,2.42,,,,,,147.36,120.81,,,,285.72,917.63,43.45,344.67,,,5542.24,,,,,,,,,,,,,,0.52,106.76,19.67,50.6,1.25,,,,,,,,,,,,,8.4,1.72,5.41,1.25,5.69,1.98,0.8,2.88,0.62,3.46,0.93,2.23,0.39,2,0.38,1.63,,,,,,,,,,0.21,,0.09,0.026
OCEAN ISLAND,GALAPAGOS ISLANDS / GENOVESA (TOWER),-0.02,-88.51,SAQ,s_DR80-2 [21895],BASALT [21895],VOL,50.56,1.27,14.72,,,10.04,12.71,7.58,0.2,0.05,2.53,,,,,,87.12,144.06,,,,418.73,1048.25,14.95,362.23,,,7271.43,,,,,,,,,,,,,,0.58,96.32,25.9,61.15,1.13,,,,,,,,,,,,,7.06,1.78,6.15,1.53,7.21,2.67,1.06,3.75,0.82,4.58,1.19,2.94,0.5,2.66,0.48,2.28,,,,,,,,,,0.23,,0.08,0.024
OCEAN ISLAND,GALAPAGOS ISLANDS / GENOVESA (TOWER),-0.31,-88.39,SAQ,s_DR83-6 [21895],BASALT [21895],VOL,47.89,0.96,17.51,,,8.97,12.62,9.29,0.16,0.03,2.38,,,,,,179.13,105.93,,,,292.4683,880.49,28.29,165.5492,,,5905.574,,,,,,,,,,,,,,0.2185,117.9786,18.9853,52.3018,0.3938,,,,,,,,,,,,,2.4501,1.4002,5.8641,1.19,6.6622,2.4588,1.0246,3.4962,0.63,4.1353,0.93,2.6251,0.4,2.4582,0.39,1.7579,,,,,,,,,,0.2387,,0.0404,0.0156
